district,state,category,fiscal_years_missing,consequence,confidence,source_url,notes
Okolona Municipal Separate School District,MS,Missing financial audits,FY2022-FY2025 (no audit since FY2021),State takeover (Board of Education voted Nov 14 2025),High,https://mississippitoday.org/2026/03/19/school-districts-submit-audits/,Outspending since FY2023-24; reached out to MDE because it could not make November payroll
Wilkinson County School District,MS,Missing financial audits,"FY2023, FY2024, FY2025 (none since Jun 2022)","State takeover (Jan 15 2026) — board abolished, superintendent removed",High,https://mississippitoday.org/2026/01/15/wilkinson-county-schools-takeover/,Takeover also cited academic F-ratings plus poor financial health
Natchez-Adams School District,MS,Missing financial audits,"FY2023, FY2024, FY2025",Probation (Oct 2025); State Board approved Corrective Action Plan,High,https://www.natchezdemocrat.com/news/natchez-adams-counted-among-half-of-mississippi-school-districts-missing-audits-risking-accreditation-9a0e396f,~$1.4M deficit on last submitted audit (2022); auditors ~95% done with FY2023 as of spring 2026
North Bolivar Consolidated School District,MS,Missing/late audits + accreditation,Unspecified,Possible state takeover; on probation ~a decade,High,https://mississippitoday.org/2026/03/31/districts-accreditation-violations/,"Specifically cited for ""faulty financial reporting, late audits, and poor fiscal management"""
Hazlehurst City School District,MS,Accreditation + audit issues,Unspecified,Possible state takeover; on probation ~a decade,Medium,https://mississippitoday.org/2026/03/31/districts-accreditation-violations/,Long-running probation; audit status among issues
Holmes County Consolidated School District,MS,Audit FINDINGS (not missing audit),n/a,State Auditor cited widespread problems,Medium,https://www2.osa.ms.gov/news/widespread-problems-uncovered-in-holmes-county-school-district-audit/,Audit-findings issue (taxpayer-funded private party; overpayment of former superintendent) — distinct from a missing/late audit
Leland School District,MS,Corrective action / accreditation (audit delays confirmed),Unspecified,Among 12 districts facing MDE corrective action (Mar 2026),Medium,https://www.newsfromthestates.com/article/mississippi-department-education-cites-school-districts-accreditation-violations,Superintendent cited shortage of audit firms causing audit delays
Carroll County School District,MS,Corrective action / accreditation,Unspecified,Among 12 districts facing MDE corrective action (Mar 2026),Medium,https://magnoliatribune.com/2026/03/24/state-board-of-education-revises-mississippi-school-district-audit-policy-in-an-effort-to-triage-late-filers/,Late audits among cited issues but not individually confirmed audit-delinquent
Coffeeville School District,MS,Corrective action / accreditation,Unspecified,Among 12 districts facing MDE corrective action (Mar 2026),Medium,https://magnoliatribune.com/2026/03/24/state-board-of-education-revises-mississippi-school-district-audit-policy-in-an-effort-to-triage-late-filers/,Late audits among cited issues but not individually confirmed audit-delinquent
East Tallahatchie School District,MS,Corrective action / accreditation,Unspecified,Among 12 districts facing MDE corrective action (Mar 2026),Medium,https://magnoliatribune.com/2026/03/24/state-board-of-education-revises-mississippi-school-district-audit-policy-in-an-effort-to-triage-late-filers/,Late audits among cited issues but not individually confirmed audit-delinquent
East Jasper School District,MS,Corrective action / accreditation,Unspecified,Among 12 districts facing MDE corrective action (Mar 2026),Medium,https://magnoliatribune.com/2026/03/24/state-board-of-education-revises-mississippi-school-district-audit-policy-in-an-effort-to-triage-late-filers/,Late audits among cited issues but not individually confirmed audit-delinquent
Greenville Public School District,MS,Corrective action / accreditation,Unspecified,Among 12 districts facing MDE corrective action (Mar 2026),Medium,https://magnoliatribune.com/2026/03/24/state-board-of-education-revises-mississippi-school-district-audit-policy-in-an-effort-to-triage-late-filers/,Late audits among cited issues but not individually confirmed audit-delinquent
Greenwood-Leflore Consolidated School District,MS,Corrective action / accreditation,Unspecified,Among 12 districts facing MDE corrective action (Mar 2026),Medium,https://magnoliatribune.com/2026/03/24/state-board-of-education-revises-mississippi-school-district-audit-policy-in-an-effort-to-triage-late-filers/,Late audits among cited issues but not individually confirmed audit-delinquent
Hollandale School District,MS,Corrective action / accreditation,Unspecified,Among 12 districts facing MDE corrective action (Mar 2026),Medium,https://magnoliatribune.com/2026/03/24/state-board-of-education-revises-mississippi-school-district-audit-policy-in-an-effort-to-triage-late-filers/,Late audits among cited issues but not individually confirmed audit-delinquent
Jackson Public School District,MS,Accreditation (NOT audit-driven),n/a,Probation (Oct 2025),Medium,https://www.newsfromthestates.com/article/mississippi-department-education-cites-school-districts-accreditation-violations,Probation cited school-board policies/residency/immunization/student records — NOT specifically missing audits; included for completeness with that caveat
Sunflower County Consolidated School District,MS,Corrective action / accreditation,Unspecified,Among 12 districts facing MDE corrective action (Mar 2026),Medium,https://magnoliatribune.com/2026/03/24/state-board-of-education-revises-mississippi-school-district-audit-policy-in-an-effort-to-triage-late-filers/,Late audits among cited issues but not individually confirmed audit-delinquent
Vicksburg Warren School District,MS,Corrective action / accreditation,Unspecified,Among 12 districts facing MDE corrective action (Mar 2026),Medium,https://magnoliatribune.com/2026/03/24/state-board-of-education-revises-mississippi-school-district-audit-policy-in-an-effort-to-triage-late-filers/,Late audits among cited issues but not individually confirmed audit-delinquent
Coahoma County School District,MS,Possibly incomplete audit,Unspecified,Not stated,Low,https://mississippitoday.org/2026/05/21/school-district-financial-audit/,Surfaced in a snippet alongside Hollandale as possibly having incomplete audits; could not confirm in a directly-quoted passage
Humphreys County School District,MS,Possibly incomplete audit,Unspecified,Not stated,Low,https://mississippitoday.org/2026/05/21/school-district-financial-audit/,Surfaced in a snippet as possibly having incomplete audits; could not confirm in a directly-quoted passage
